algorithm,array_type,size,avg_time_ms,avg_comparisons
MSD Radixsort (with switch),reverse sorted,700,1.198,5058
Standard Quicksort,almost sorted,700,11.506,226864
Standard Mergesort,almost sorted,700,3.105,3522
String Quicksort,almost sorted,700,0.9978,12294
String Mergesort,almost sorted,700,3.2002,3802
MSD Radixsort,almost sorted,700,1.4026,0
MSD Radixsort (with switch),almost sorted,700,1.0016,11176
Standard Quicksort,random,800,1.1178,8237
Standard Mergesort,random,800,3.9328,6687
String Quicksort,random,800,0.9988,10121
String Mergesort,random,800,4.1118,6666
MSD Radixsort,random,800,1.7968,0
MSD Radixsort (with switch),random,800,0.997,3285
Standard Quicksort,reverse sorted,800,11.3662,319600
Standard Mergesort,reverse sorted,800,3.6092,3728
String Quicksort,reverse sorted,800,0.9958,11134
String Mergesort,reverse sorted,800,3.9996,3728
MSD Radixsort,reverse sorted,800,2.2002,0
MSD Radixsort (with switch),reverse sorted,800,1.6016,5916
Standard Quicksort,almost sorted,800,11.8062,294266
Standard Mergesort,almost sorted,800,3.2008,4070
String Quicksort,almost sorted,800,0.801,14740
String Mergesort,almost sorted,800,3.7984,4409
MSD Radixsort,almost sorted,800,2,0
MSD Radixsort (with switch),almost sorted,800,1.1994,12920
Standard Quicksort,random,900,0.9982,9216
Standard Mergesort,random,900,5.3044,7685
String Quicksort,random,900,1,11023
String Mergesort,random,900,4.1978,7665
MSD Radixsort,random,900,1.7998,0
MSD Radixsort (with switch),random,900,1.201,4007
Standard Quicksort,reverse sorted,900,14.4004,404550
Standard Mergesort,reverse sorted,900,5.4002,4304
String Quicksort,reverse sorted,900,1.5016,13114
String Mergesort,reverse sorted,900,4.5038,4304
MSD Radixsort,reverse sorted,900,1.9984,0
MSD Radixsort (with switch),reverse sorted,900,1.4004,6647
Standard Quicksort,almost sorted,900,16.236,369249
Standard Mergesort,almost sorted,900,4.7162,4608
String Quicksort,almost sorted,900,0.9982,18169
String Mergesort,almost sorted,900,4.2004,5123
MSD Radixsort,almost sorted,900,1.7962,0
MSD Radixsort (with switch),almost sorted,900,1.3028,14270
Standard Quicksort,random,1000,0.82,11672
Standard Mergesort,random,1000,4.7976,8685
String Quicksort,random,1000,1.4004,14617
String Mergesort,random,1000,4.5962,8673
MSD Radixsort,random,1000,2.612,0
MSD Radixsort (with switch),random,1000,1.797,4573
Standard Quicksort,reverse sorted,1000,19.1072,499500
Standard Mergesort,reverse sorted,1000,5.2076,4932
String Quicksort,reverse sorted,1000,1.6,14437
String Mergesort,reverse sorted,1000,6.6064,4932
MSD Radixsort,reverse sorted,1000,3.0002,0
MSD Radixsort (with switch),reverse sorted,1000,1.102,7417
Standard Quicksort,almost sorted,1000,18.907,459454
Standard Mergesort,almost sorted,1000,5.9996,5074
String Quicksort,almost sorted,1000,1.4008,20948
String Mergesort,almost sorted,1000,5.1048,5927
MSD Radixsort,almost sorted,1000,2.1998,0
MSD Radixsort (with switch),almost sorted,1000,1.4012,15586
Standard Quicksort,random,1100,0.9558,11337
Standard Mergesort,random,1100,5.7044,9721
String Quicksort,random,1100,1.0012,14219
String Mergesort,random,1100,6.1926,9690
MSD Radixsort,random,1100,2.6082,0
MSD Radixsort (with switch),random,1100,1.9354,5166
Standard Quicksort,reverse sorted,1100,24.1434,604450
Standard Mergesort,reverse sorted,1100,5.8064,5420
String Quicksort,reverse sorted,1100,1.202,16725
String Mergesort,reverse sorted,1100,5.3038,5420
MSD Radixsort,reverse sorted,1100,3.0052,0
MSD Radixsort (with switch),reverse sorted,1100,1.601,8124
Standard Quicksort,almost sorted,1100,23.8162,556080
Standard Mergesort,almost sorted,1100,5.1972,5780
String Quicksort,almost sorted,1100,1.2012,23997
String Mergesort,almost sorted,1100,5.8352,6363
MSD Radixsort,almost sorted,1100,2.6014,0
MSD Radixsort (with switch),almost sorted,1100,2.0002,17424
Standard Quicksort,random,1200,1.2362,13341
Standard Mergesort,random,1200,6.3292,10770
String Quicksort,random,1200,1.5024,15167
String Mergesort,random,1200,6.2012,10745
MSD Radixsort,random,1200,2.6004,0
MSD Radixsort (with switch),random,1200,1.5992,5806
Standard Quicksort,reverse sorted,1200,25.8146,719400
Standard Mergesort,reverse sorted,1200,6.817,5920
String Quicksort,reverse sorted,1200,2.8036,19826
String Mergesort,reverse sorted,1200,7.1986,5920
MSD Radixsort,reverse sorted,1200,3.8078,0
MSD Radixsort (with switch),reverse sorted,1200,1.9986,8939
Standard Quicksort,almost sorted,1200,29.0112,660680
Standard Mergesort,almost sorted,1200,5.101,6469
String Quicksort,almost sorted,1200,2.1036,28252
String Mergesort,almost sorted,1200,7.0058,6941
MSD Radixsort,almost sorted,1200,3.2012,0
MSD Radixsort (with switch),almost sorted,1200,1.9998,19002
Standard Quicksort,random,1300,1.301,15614
Standard Mergesort,random,1300,6.503,11813
String Quicksort,random,1300,2.0014,17247
String Mergesort,random,1300,6.6186,11791
MSD Radixsort,random,1300,3.104,0
MSD Radixsort (with switch),random,1300,1.9014,6543
Standard Quicksort,reverse sorted,1300,30.8088,844350
Standard Mergesort,reverse sorted,1300,6.0024,6480
String Quicksort,reverse sorted,1300,2.002,21223
String Mergesort,reverse sorted,1300,6.1,6480
MSD Radixsort,reverse sorted,1300,3.5066,0
MSD Radixsort (with switch),reverse sorted,1300,2.2022,9675
Standard Quicksort,almost sorted,1300,32.72,778233
Standard Mergesort,almost sorted,1300,5.8052,7113
String Quicksort,almost sorted,1300,2.1064,31555
String Mergesort,almost sorted,1300,7.7958,7451
MSD Radixsort,almost sorted,1300,2.7976,0
MSD Radixsort (with switch),almost sorted,1300,2.0016,20365
Standard Quicksort,random,1400,1.4992,16467
Standard Mergesort,random,1400,7.8164,12898
String Quicksort,random,1400,2.7436,19762
String Mergesort,random,1400,24.2464,12857
MSD Radixsort,random,1400,7.6206,0
MSD Radixsort (with switch),random,1400,2.1964,7377
Standard Quicksort,reverse sorted,1400,42.0192,979300
Standard Mergesort,reverse sorted,1400,8.2914,7044
String Quicksort,reverse sorted,1400,1.996,22094
